# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: E:\My_design\IR\DE2_115_IR\de2_115_ir.csv
# Generated on: Sun Jun 06 09:43:14 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
SRAM_ADDR[6],Unknown,PIN_AB5,2,B2_N2,3.3-V LVTTL,
SRAM_ADDR[7],Unknown,PIN_AC5,2,B2_N2,3.3-V LVTTL,
SRAM_ADDR[8],Unknown,PIN_AF5,3,B3_N2,3.3-V LVTTL,
SRAM_ADDR[9],Unknown,PIN_T7,2,B2_N0,3.3-V LVTTL,
SRAM_ADDR[10],Unknown,PIN_AF2,2,B2_N2,3.3-V LVTTL,
SRAM_ADDR[11],Unknown,PIN_AD3,2,B2_N1,3.3-V LVTTL,
SRAM_ADDR[12],Unknown,PIN_AB4,2,B2_N2,3.3-V LVTTL,
SRAM_ADDR[13],Unknown,PIN_AC3,2,B2_N1,3.3-V LVTTL,
SRAM_ADDR[14],Unknown,PIN_AA4,2,B2_N1,3.3-V LVTTL,
SRAM_ADDR[0],Unknown,PIN_AB7,3,B3_N1,3.3-V LVTTL,
SRAM_ADDR[1],Unknown,PIN_AD7,3,B3_N2,3.3-V LVTTL,
SRAM_ADDR[2],Unknown,PIN_AE7,3,B3_N1,3.3-V LVTTL,
SRAM_ADDR[3],Unknown,PIN_AC7,3,B3_N2,3.3-V LVTTL,
SRAM_ADDR[4],Unknown,PIN_AB6,2,B2_N2,3.3-V LVTTL,
SRAM_ADDR[19],Unknown,PIN_T8,2,B2_N1,3.3-V LVTTL,
SRAM_ADDR[18],Unknown,PIN_AB8,3,B3_N2,3.3-V LVTTL,
SRAM_ADDR[17],Unknown,PIN_AB9,3,B3_N2,3.3-V LVTTL,
SRAM_ADDR[16],Unknown,PIN_AC11,3,B3_N0,3.3-V LVTTL,
SRAM_ADDR[15],Unknown,PIN_AB11,3,B3_N1,3.3-V LVTTL,
DRAM_DQ[31],Unknown,PIN_U1,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[30],Unknown,PIN_U4,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[29],Unknown,PIN_T3,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[28],Unknown,PIN_R3,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[27],Unknown,PIN_R2,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[26],Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[25],Unknown,PIN_R7,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[24],Unknown,PIN_U5,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[16],Unknown,PIN_M8,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[17],Unknown,PIN_L8,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[18],Unknown,PIN_P2,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[19],Unknown,PIN_N3,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[20],Unknown,PIN_N4,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[21],Unknown,PIN_M4,1,B1_N1,3.3-V LVTTL,
DRAM_DQ[22],Unknown,PIN_M7,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[23],Unknown,PIN_L7,1,B1_N2,3.3-V LVTTL,
DRAM_DQ[8],Unknown,PIN_Y3,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[9],Unknown,PIN_Y4,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[10],Unknown,PIN_AB1,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[11],Unknown,PIN_AA3,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[12],Unknown,PIN_AB2,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[13],Unknown,PIN_AC1,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[14],Unknown,PIN_AB3,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[15],Unknown,PIN_AC2,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[0],Unknown,PIN_W3,2,B2_N2,3.3-V LVTTL,
DRAM_DQ[1],Unknown,PIN_W2,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[2],Unknown,PIN_V4,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[3],Unknown,PIN_W1,2,B2_N1,3.3-V LVTTL,
DRAM_DQ[4],Unknown,PIN_V3,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[5],Unknown,PIN_V2,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[6],Unknown,PIN_V1,2,B2_N0,3.3-V LVTTL,
DRAM_DQ[7],Unknown,PIN_U3,2,B2_N0,3.3-V LVTTL,
DRAM_DQM[1],Unknown,PIN_W4,2,B2_N2,3.3-V LVTTL,
DRAM_DQM[2],Unknown,PIN_K8,1,B1_N2,3.3-V LVTTL,
DRAM_DQM[0],Unknown,PIN_U2,2,B2_N0,3.3-V LVTTL,
DRAM_DQM[3],Unknown,PIN_N8,1,B1_N2,3.3-V LVTTL,
DRAM_RAS_n,Unknown,PIN_U6,2,B2_N1,3.3-V LVTTL,
DRAM_CAS_n,Unknown,PIN_V7,2,B2_N1,3.3-V LVTTL,
DRAM_CKE,Unknown,PIN_AA6,2,B2_N2,3.3-V LVTTL,
DRAM_WE_n,Unknown,PIN_V6,2,B2_N1,3.3-V LVTTL,
DRAM_CS_n,Unknown,PIN_T4,2,B2_N0,3.3-V LVTTL,
DRAM_BA[0],Unknown,PIN_U7,2,B2_N1,3.3-V LVTTL,
DRAM_BA[1],Unknown,PIN_R4,2,B2_N0,3.3-V LVTTL,
DRAM_ADDR[12],Unknown,PIN_Y7,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[11],Unknown,PIN_AA5,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[10],Unknown,PIN_R5,2,B2_N0,3.3-V LVTTL,
DRAM_ADDR[9],Unknown,PIN_Y6,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[8],Unknown,PIN_Y5,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[7],Unknown,PIN_AA7,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[6],Unknown,PIN_W7,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[5],Unknown,PIN_W8,2,B2_N2,3.3-V LVTTL,
DRAM_ADDR[4],Unknown,PIN_V5,2,B2_N1,3.3-V LVTTL,
DRAM_ADDR[0],Unknown,PIN_R6,2,B2_N0,3.3-V LVTTL,
DRAM_ADDR[1],Unknown,PIN_V8,2,B2_N1,3.3-V LVTTL,
DRAM_ADDR[2],Unknown,PIN_U8,2,B2_N1,3.3-V LVTTL,
DRAM_ADDR[3],Unknown,PIN_P1,1,B1_N2,3.3-V LVTTL,
IRDA_RXD,Unknown,PIN_Y15,3,B3_N0,3.3-V LVTTL,
LCD_BLON,Unknown,PIN_L6,1,B1_N2,3.3-V LVTTL,
LCD_DATA[7],Unknown,PIN_M5,1,B1_N2,3.3-V LVTTL,
LCD_DATA[6],Unknown,PIN_M3,1,B1_N1,3.3-V LVTTL,
LCD_DATA[5],Unknown,PIN_K2,1,B1_N1,3.3-V LVTTL,
LCD_DATA[4],Unknown,PIN_K1,1,B1_N1,3.3-V LVTTL,
LCD_DATA[3],Unknown,PIN_K7,1,B1_N1,3.3-V LVTTL,
LCD_DATA[2],Unknown,PIN_L2,1,B1_N2,3.3-V LVTTL,
LCD_DATA[1],Unknown,PIN_L1,1,B1_N2,3.3-V LVTTL,
LCD_DATA[0],Unknown,PIN_L3,1,B1_N1,3.3-V LVTTL,
LCD_EN,Unknown,PIN_L4,1,B1_N1,3.3-V LVTTL,
LCD_RW,Unknown,PIN_M1,1,B1_N2,3.3-V LVTTL,
LCD_RS,Unknown,PIN_M2,1,B1_N2,3.3-V LVTTL,
LCD_ON,Unknown,PIN_L5,1,B1_N1,3.3-V LVTTL,
TD_DATA[7],Unknown,PIN_F7,8,B8_N2,3.3-V LVTTL,
TD_DATA[6],Unknown,PIN_E7,8,B8_N2,3.3-V LVTTL,
TD_DATA[5],Unknown,PIN_D6,8,B8_N2,3.3-V LVTTL,
TD_DATA[4],Unknown,PIN_D7,8,B8_N2,3.3-V LVTTL,
TD_DATA[3],Unknown,PIN_C7,8,B8_N2,3.3-V LVTTL,
TD_DATA[2],Unknown,PIN_D8,8,B8_N2,3.3-V LVTTL,
TD_DATA[1],Unknown,PIN_A7,8,B8_N1,3.3-V LVTTL,
TD_DATA[0],Unknown,PIN_E8,8,B8_N2,3.3-V LVTTL,
AUD_DACDAT,Unknown,PIN_D1,1,B1_N0,3.3-V LVTTL,
AUD_DACLRCK,Unknown,PIN_E3,1,B1_N0,3.3-V LVTTL,
AUD_ADCDAT,Unknown,PIN_D2,1,B1_N0,3.3-V LVTTL,
AUD_ADCLRCK,Unknown,PIN_C2,1,B1_N0,3.3-V LVTTL,
AUD_XCK,Unknown,PIN_E1,1,B1_N0,3.3-V LVTTL,
AUD_BCLK,Unknown,PIN_F2,1,B1_N1,3.3-V LVTTL,
PS2_KBCLK,Unknown,PIN_G6,1,B1_N0,3.3-V LVTTL,
PS2_KBDAT,Unknown,PIN_H5,1,B1_N1,3.3-V LVTTL,
PS2_MSCLK,Unknown,PIN_G5,1,B1_N0,3.3-V LVTTL,
PS2_MSDAT,Unknown,PIN_F5,1,B1_N0,3.3-V LVTTL,
UART_TXD,Unknown,PIN_G9,8,B8_N2,3.3-V LVTTL,
UART_RXD,Unknown,PIN_G12,8,B8_N1,3.3-V LVTTL,
UART_CTS,Unknown,PIN_G14,8,B8_N0,3.3-V LVTTL,
UART_RTS,Unknown,PIN_J13,8,B8_N0,3.3-V LVTTL,
EEP_I2C_SCL,Unknown,PIN_D14,8,B8_N0,3.3-V LVTTL,
EEP_I2C_SDA,Unknown,PIN_E14,8,B8_N0,3.3-V LVTTL,
TD_CLK27,Unknown,PIN_B14,8,B8_N0,3.3-V LVTTL,
VGA_B[7],Unknown,PIN_D12,8,B8_N0,3.3-V LVTTL,
VGA_B[6],Unknown,PIN_D11,8,B8_N1,3.3-V LVTTL,
VGA_B[5],Unknown,PIN_C12,8,B8_N0,3.3-V LVTTL,
VGA_B[4],Unknown,PIN_A11,8,B8_N0,3.3-V LVTTL,
VGA_B[3],Unknown,PIN_B11,8,B8_N0,3.3-V LVTTL,
VGA_B[2],Unknown,PIN_C11,8,B8_N1,3.3-V LVTTL,
VGA_B[1],Unknown,PIN_A10,8,B8_N0,3.3-V LVTTL,
VGA_B[0],Unknown,PIN_B10,8,B8_N0,3.3-V LVTTL,
VGA_G[7],Unknown,PIN_C9,8,B8_N1,3.3-V LVTTL,
VGA_G[6],Unknown,PIN_F10,8,B8_N1,3.3-V LVTTL,
VGA_G[5],Unknown,PIN_B8,8,B8_N1,3.3-V LVTTL,
VGA_G[4],Unknown,PIN_C8,8,B8_N1,3.3-V LVTTL,
VGA_G[3],Unknown,PIN_H12,8,B8_N1,3.3-V LVTTL,
VGA_G[2],Unknown,PIN_F8,8,B8_N2,3.3-V LVTTL,
VGA_G[1],Unknown,PIN_G11,8,B8_N1,3.3-V LVTTL,
VGA_G[0],Unknown,PIN_G8,8,B8_N2,3.3-V LVTTL,
VGA_R[7],Unknown,PIN_H10,8,B8_N1,3.3-V LVTTL,
VGA_R[6],Unknown,PIN_H8,8,B8_N2,3.3-V LVTTL,
VGA_R[5],Unknown,PIN_J12,8,B8_N0,3.3-V LVTTL,
VGA_R[4],Unknown,PIN_G10,8,B8_N1,3.3-V LVTTL,
VGA_R[3],Unknown,PIN_F12,8,B8_N1,3.3-V LVTTL,
VGA_R[2],Unknown,PIN_D10,8,B8_N1,3.3-V LVTTL,
VGA_R[1],Unknown,PIN_E11,8,B8_N1,3.3-V LVTTL,
VGA_R[0],Unknown,PIN_E12,8,B8_N1,3.3-V LVTTL,
VGA_CLK,Unknown,PIN_A12,8,B8_N0,3.3-V LVTTL,
VGA_BLANK_n,Unknown,PIN_F11,8,B8_N1,3.3-V LVTTL,
VGA_SYNC_n,Unknown,PIN_C10,8,B8_N0,3.3-V LVTTL,
VGA_HS,Unknown,PIN_G13,8,B8_N0,3.3-V LVTTL,
VGA_VS,Unknown,PIN_C13,8,B8_N0,3.3-V LVTTL,
TD_RESET_n,Unknown,PIN_G7,8,B8_N2,3.3-V LVTTL,
TD_VS,Unknown,PIN_E4,8,B8_N2,3.3-V LVTTL,
TD_HS,Unknown,PIN_E5,8,B8_N2,3.3-V LVTTL,
I2C_SCL,Unknown,PIN_B7,8,B8_N1,3.3-V LVTTL,
I2C_SDA,Unknown,PIN_A8,8,B8_N1,3.3-V LVTTL,
HSMC_D[3],Unknown,PIN_AF27,5,B5_N2,2.5 V,
SW[0],Unknown,PIN_AB28,5,B5_N1,2.5 V,
GPIO_DATA[8],Unknown,PIN_AD15,4,B4_N2,3.3-V LVTTL,
GPIO_DATA[9],Unknown,PIN_AE15,4,B4_N2,3.3-V LVTTL,
GPIO_DATA[34],Unknown,PIN_AH23,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[35],Unknown,PIN_AG26,4,B4_N0,3.3-V LVTTL,
EXT_IO[0],Unknown,PIN_J10,8,B8_N1,3.3-V LVTTL,
EXT_IO[1],Unknown,PIN_J14,8,B8_N0,3.3-V LVTTL,
EXT_IO[2],Unknown,PIN_H13,8,B8_N0,3.3-V LVTTL,
EXT_IO[3],Unknown,PIN_H14,8,B8_N0,3.3-V LVTTL,
EXT_IO[4],Unknown,PIN_F14,8,B8_N0,3.3-V LVTTL,
EXT_IO[5],Unknown,PIN_E10,8,B8_N1,3.3-V LVTTL,
EXT_IO[6],Unknown,PIN_D9,8,B8_N1,3.3-V LVTTL,
OTG_DACK_n[1],Unknown,PIN_D4,8,B8_N2,3.3-V LVTTL,
OTG_DACK_n[0],Unknown,PIN_C4,8,B8_N2,3.3-V LVTTL,
OTG_CS_n,Unknown,PIN_A3,8,B8_N2,3.3-V LVTTL,
OTG_OE_n,Unknown,PIN_B3,8,B8_N2,3.3-V LVTTL,
OTG_DREQ[1],Unknown,PIN_B4,8,B8_N2,3.3-V LVTTL,
OTG_WE_n,Unknown,PIN_A4,8,B8_N2,3.3-V LVTTL,
OTG_LSPEED,Unknown,PIN_B6,8,B8_N1,3.3-V LVTTL,
OTG_A[0],Unknown,PIN_H7,1,B1_N0,3.3-V LVTTL,
OTG_FSPEED,Unknown,PIN_C6,8,B8_N2,3.3-V LVTTL,
OTG_INT[1],Unknown,PIN_D5,8,B8_N2,3.3-V LVTTL,
OTG_RESET_n,Unknown,PIN_C5,8,B8_N2,3.3-V LVTTL,
OTG_INT[0],Unknown,PIN_A6,8,B8_N1,3.3-V LVTTL,
OTG_DREQ[0],Unknown,PIN_J1,1,B1_N2,3.3-V LVTTL,
OTG_A[1],Unknown,PIN_C3,8,B8_N2,3.3-V LVTTL,
OTG_DATA[0],Unknown,PIN_J6,1,B1_N1,3.3-V LVTTL,
OTG_DATA[1],Unknown,PIN_K4,1,B1_N1,3.3-V LVTTL,
OTG_DATA[2],Unknown,PIN_J5,1,B1_N1,3.3-V LVTTL,
OTG_DATA[3],Unknown,PIN_K3,1,B1_N1,3.3-V LVTTL,
OTG_DATA[4],Unknown,PIN_J4,1,B1_N1,3.3-V LVTTL,
OTG_DATA[5],Unknown,PIN_J3,1,B1_N1,3.3-V LVTTL,
OTG_DATA[6],Unknown,PIN_J7,1,B1_N1,3.3-V LVTTL,
OTG_DATA[7],Unknown,PIN_H6,1,B1_N0,3.3-V LVTTL,
OTG_DATA[8],Unknown,PIN_H3,1,B1_N0,3.3-V LVTTL,
OTG_DATA[9],Unknown,PIN_H4,1,B1_N0,3.3-V LVTTL,
OTG_DATA[10],Unknown,PIN_G1,1,B1_N1,3.3-V LVTTL,
OTG_DATA[11],Unknown,PIN_G2,1,B1_N1,3.3-V LVTTL,
OTG_DATA[12],Unknown,PIN_G3,1,B1_N0,3.3-V LVTTL,
OTG_DATA[13],Unknown,PIN_F1,1,B1_N1,3.3-V LVTTL,
OTG_DATA[14],Unknown,PIN_F3,1,B1_N0,3.3-V LVTTL,
OTG_DATA[15],Unknown,PIN_G4,1,B1_N0,3.3-V LVTTL,
NET0_LINK100,Unknown,PIN_C14,8,B8_N0,3.3-V LVTTL,
NET1_LINK100,Unknown,PIN_D13,8,B8_N0,3.3-V LVTTL,
NETCLK_25,Unknown,PIN_A14,8,B8_N0,3.3-V LVTTL,
HEX2_D,Unknown,,,,,
HEX0_D,Unknown,,,,,
HEX1_D,Unknown,,,,,
KEY,Unknown,,,,,
SW,Unknown,,,,,
,Unknown,PIN_J9,,,,
,Unknown,PIN_H9,,,,
,Unknown,PIN_J8,,,,
,Unknown,PIN_F4,1,B1_N0,,
,Unknown,PIN_E2,1,B1_N0,,
,Unknown,PIN_M6,1,B1_N1,,
,Unknown,PIN_P3,1,B1_N2,,
,Unknown,PIN_N7,1,B1_N2,,
,Unknown,PIN_P4,1,B1_N2,,
,Unknown,PIN_P7,1,B1_N2,,
,Unknown,PIN_P5,1,B1_N2,,
,Unknown,PIN_P8,1,B1_N2,,
,Unknown,PIN_P6,1,B1_N2,,
,Unknown,PIN_R8,1,B1_N2,,
,Unknown,PIN_Y8,,,,
,Unknown,PIN_AA9,,,,
,Unknown,PIN_Y9,,,,
,Unknown,PIN_Y20,,,,
,Unknown,PIN_AA20,,,,
,Unknown,PIN_Y21,,,,
,Unknown,PIN_P24,6,B6_N2,,
,Unknown,PIN_N22,6,B6_N2,,
,Unknown,PIN_P23,6,B6_N2,,
,Unknown,PIN_M22,6,B6_N2,,
,Unknown,PIN_P22,6,B6_N2,,
,Unknown,PIN_J21,,,,
,Unknown,PIN_H20,,,,
,Unknown,PIN_J20,,,,
,Unknown,PIN_K9,,,,
,Unknown,PIN_K11,,,,
,Unknown,PIN_K13,,,,
,Unknown,PIN_K15,,,,
,Unknown,PIN_K17,,,,
,Unknown,PIN_K19,,,,
,Unknown,PIN_L10,,,,
,Unknown,PIN_L12,,,,
,Unknown,PIN_L14,,,,
,Unknown,PIN_L16,,,,
,Unknown,PIN_L18,,,,
,Unknown,PIN_L20,,,,
,Unknown,PIN_M9,,,,
,Unknown,PIN_M11,,,,
,Unknown,PIN_M13,,,,
,Unknown,PIN_M15,,,,
,Unknown,PIN_M17,,,,
,Unknown,PIN_M19,,,,
,Unknown,PIN_N10,,,,
,Unknown,PIN_N12,,,,
,Unknown,PIN_N14,,,,
,Unknown,PIN_N16,,,,
,Unknown,PIN_N18,,,,
,Unknown,PIN_N20,,,,
,Unknown,PIN_P9,,,,
,Unknown,PIN_P11,,,,
,Unknown,PIN_P13,,,,
,Unknown,PIN_P15,,,,
,Unknown,PIN_P17,,,,
,Unknown,PIN_P19,,,,
,Unknown,PIN_R10,,,,
,Unknown,PIN_R12,,,,
,Unknown,PIN_R14,,,,
,Unknown,PIN_R16,,,,
,Unknown,PIN_R18,,,,
,Unknown,PIN_R20,,,,
,Unknown,PIN_T9,,,,
,Unknown,PIN_T11,,,,
,Unknown,PIN_T13,,,,
,Unknown,PIN_T15,,,,
,Unknown,PIN_T17,,,,
,Unknown,PIN_T19,,,,
,Unknown,PIN_U10,,,,
,Unknown,PIN_U12,,,,
,Unknown,PIN_U14,,,,
,Unknown,PIN_U16,,,,
,Unknown,PIN_U18,,,,
,Unknown,PIN_U20,,,,
,Unknown,PIN_V9,,,,
,Unknown,PIN_V11,,,,
,Unknown,PIN_V13,,,,
,Unknown,PIN_V15,,,,
,Unknown,PIN_V17,,,,
,Unknown,PIN_V19,,,,
,Unknown,PIN_W10,,,,
,Unknown,PIN_W12,,,,
,Unknown,PIN_W14,,,,
,Unknown,PIN_W16,,,,
,Unknown,PIN_W18,,,,
,Unknown,PIN_W20,,,,
,Unknown,PIN_B1,1,,,
,Unknown,PIN_H1,1,,,
,Unknown,PIN_K5,1,,,
,Unknown,PIN_N1,1,,,
,Unknown,PIN_N5,1,,,
,Unknown,PIN_AA1,2,,,
,Unknown,PIN_AG1,2,,,
,Unknown,PIN_T1,2,,,
,Unknown,PIN_T5,2,,,
,Unknown,PIN_W5,2,,,
,Unknown,PIN_AA11,3,,,
,Unknown,PIN_AD6,3,,,
,Unknown,PIN_AD9,,,,
,Unknown,PIN_AD13,,,,
,Unknown,PIN_AH2,,,,
,Unknown,PIN_AH5,,,,
,Unknown,PIN_AH9,,,,
,Unknown,PIN_AH13,3,,,
,Unknown,PIN_AA18,4,,,
,Unknown,PIN_AD16,4,,,
,Unknown,PIN_AD20,4,,,
,Unknown,PIN_AD23,4,,,
,Unknown,PIN_AH16,4,,,
,Unknown,PIN_AH20,4,,,
,Unknown,PIN_AH24,4,,,
,Unknown,PIN_AH27,4,,,
,Unknown,PIN_AA28,5,,,
,Unknown,PIN_AG28,5,,,
,Unknown,PIN_T24,5,,,
,Unknown,PIN_T28,,,,
,Unknown,PIN_W24,5,,,
,Unknown,PIN_B28,6,,,
,Unknown,PIN_H28,,,,
,Unknown,PIN_K24,6,,,
,Unknown,PIN_N24,6,,,
,Unknown,PIN_N28,6,,,
,Unknown,PIN_A16,7,,,
,Unknown,PIN_A20,7,,,
,Unknown,PIN_A24,7,,,
,Unknown,PIN_A27,7,,,
,Unknown,PIN_E16,7,,,
,Unknown,PIN_E20,,,,
,Unknown,PIN_E23,7,,,
,Unknown,PIN_H18,7,,,
,Unknown,PIN_A2,8,,,
,Unknown,PIN_A5,,,,
,Unknown,PIN_A9,,,,
,Unknown,PIN_A13,8,,,
,Unknown,PIN_E6,8,,,
,Unknown,PIN_E9,8,,,
,Unknown,PIN_E13,,,,
,Unknown,PIN_H11,,,,
,Unknown,PIN_K10,,,,
,Unknown,PIN_K12,,,,
,Unknown,PIN_K14,,,,
,Unknown,PIN_K16,,,,
,Unknown,PIN_K18,,,,
,Unknown,PIN_K20,,,,
,Unknown,PIN_L9,,,,
,Unknown,PIN_L11,,,,
,Unknown,PIN_L13,,,,
,Unknown,PIN_L15,,,,
,Unknown,PIN_L17,,,,
,Unknown,PIN_L19,,,,
,Unknown,PIN_M10,,,,
,Unknown,PIN_M12,,,,
,Unknown,PIN_M14,,,,
,Unknown,PIN_M16,,,,
,Unknown,PIN_M18,,,,
,Unknown,PIN_M20,,,,
,Unknown,PIN_N9,,,,
,Unknown,PIN_N11,,,,
,Unknown,PIN_N13,,,,
,Unknown,PIN_N15,,,,
,Unknown,PIN_N17,,,,
,Unknown,PIN_N19,,,,
,Unknown,PIN_P10,,,,
,Unknown,PIN_P12,,,,
,Unknown,PIN_P14,,,,
,Unknown,PIN_P16,,,,
,Unknown,PIN_P18,,,,
,Unknown,PIN_P20,,,,
,Unknown,PIN_R9,,,,
,Unknown,PIN_R11,,,,
,Unknown,PIN_R13,,,,
,Unknown,PIN_R15,,,,
,Unknown,PIN_R17,,,,
,Unknown,PIN_R19,,,,
,Unknown,PIN_T10,,,,
,Unknown,PIN_T12,,,,
,Unknown,PIN_T14,,,,
,Unknown,PIN_T16,,,,
,Unknown,PIN_T18,,,,
,Unknown,PIN_T20,,,,
,Unknown,PIN_U9,,,,
,Unknown,PIN_U11,,,,
,Unknown,PIN_U13,,,,
,Unknown,PIN_U15,,,,
,Unknown,PIN_U17,,,,
,Unknown,PIN_U19,,,,
,Unknown,PIN_V10,,,,
,Unknown,PIN_V12,,,,
,Unknown,PIN_V14,,,,
,Unknown,PIN_V16,,,,
,Unknown,PIN_V18,,,,
,Unknown,PIN_V20,,,,
,Unknown,PIN_W9,,,,
,Unknown,PIN_W11,,,,
,Unknown,PIN_W13,,,,
,Unknown,PIN_W15,,,,
,Unknown,PIN_W17,,,,
,Unknown,PIN_W19,,,,
,Unknown,PIN_AA2,,,,
,Unknown,PIN_AA27,,,,
,Unknown,PIN_AC6,,,,
,Unknown,PIN_AC9,,,,
,Unknown,PIN_AC13,,,,
,Unknown,PIN_AC16,,,,
,Unknown,PIN_AC20,,,,
,Unknown,PIN_AC23,,,,
,Unknown,PIN_AF1,,,,
,Unknown,PIN_AF28,,,,
,Unknown,PIN_AG2,,,,
,Unknown,PIN_AG5,,,,
,Unknown,PIN_AG9,,,,
,Unknown,PIN_AG13,,,,
,Unknown,PIN_AG16,,,,
,Unknown,PIN_AG20,,,,
,Unknown,PIN_AG24,,,,
,Unknown,PIN_AG27,,,,
,Unknown,PIN_B2,,,,
,Unknown,PIN_B5,,,,
,Unknown,PIN_B9,,,,
,Unknown,PIN_B13,,,,
,Unknown,PIN_B16,,,,
,Unknown,PIN_B20,,,,
,Unknown,PIN_B24,,,,
,Unknown,PIN_B27,,,,
,Unknown,PIN_C1,,,,
,Unknown,PIN_C28,,,,
,Unknown,PIN_F6,,,,
,Unknown,PIN_F9,,,,
,Unknown,PIN_F13,,,,
,Unknown,PIN_F16,,,,
,Unknown,PIN_F20,,,,
,Unknown,PIN_F23,,,,
,Unknown,PIN_H2,,,,
,Unknown,PIN_H27,,,,
,Unknown,PIN_J11,,,,
,Unknown,PIN_J18,,,,
,Unknown,PIN_K6,,,,
,Unknown,PIN_K23,,,,
,Unknown,PIN_N2,,,,
,Unknown,PIN_N6,,,,
,Unknown,PIN_N23,,,,
,Unknown,PIN_N27,,,,
,Unknown,PIN_T2,,,,
,Unknown,PIN_T6,,,,
,Unknown,PIN_T23,,,,
,Unknown,PIN_T27,,,,
,Unknown,PIN_W6,,,,
,Unknown,PIN_W23,,,,
,Unknown,PIN_Y11,,,,
,Unknown,PIN_Y18,,,,
,Unknown,PIN_J2,,,,
,Unknown,PIN_D3,,,,
,Unknown,PIN_B12,,,,
